0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,silan,silan,silan,penten,penten,penten,penten,produkt suma,silan suma,penten suma,cale widmo
,Y ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,,,,
czas (s),"Integral(0.636757,0.572970)","Integral(0.889757,0.814595)","Integral(0.982024,0.932107)","Integral(1.046604,0.985144)","Integral(1.263743,1.196043)","Integral(1.345170,1.269046)","Integral(1.458730,1.384479)","Integral(1.549517,1.479633)","Integral(1.635311,1.553885)","Integral(0.708841,0.638108)","Integral(1.108528,1.048454)","Integral(3.920281,3.598789)","Integral(1.012637,0.971353)","Integral(1.685043,1.598012)","Integral(2.106522,1.964386)","Integral(5.596931,5.302060)",,,,"Integral(7.350003,0.326339)"
525,319.566,5.73269,99.2382,1257.58,15.8793,14.78,7.68814,9.66548,10.4879,668.485,601.733,146.145,425.207,414.841,264.055,229.962,1740.61771,1416.363,1334.065,5994.15
530,316.647,4.80196,95.6999,1255.58,16.8554,14.8821,7.51532,9.43127,9.70924,672.121,606.823,146.044,419.391,414.458,264.191,229.917,1731.12219,1424.988,1327.957,5997.28
535,319.593,5.20631,97.8751,1261.93,16.1137,14.9641,7.8177,9.56211,10.1182,668.073,601.529,146.001,420.987,414.514,264.148,229.905,1743.18022,1415.603,1329.554,5995.53
540,319.191,5.03623,97.3448,1255.82,16.543,14.1216,7.91068,9.54474,10.1927,669.459,601.953,145.818,421.256,413.898,263.785,229.558,1735.70475,1417.23,1328.497,5993.23
545,321.833,5.07478,99.5862,1265.93,16.7486,14.9776,7.8701,9.93533,10.6753,665.777,599.658,145.994,424.821,414.467,263.753,229.636,1752.63091,1411.429,1332.677,5996.87
550,319.425,5.50986,97.6434,1259.53,16.4478,15.051,7.78136,9.95598,10.2204,669.115,604.009,145.91,422.857,414.299,263.919,229.54,1741.5648,1419.034,1330.615,5997.66
555,320.838,5.3489,97.5368,1263.68,16.5734,15.0922,8.03593,9.76736,10.343,666.988,602.971,145.693,421.005,413.819,263.788,229.266,1747.21559,1415.652,1327.878,5996.24
560,319.846,5.23354,98.9137,1256.9,16.7262,14.5668,7.84833,9.64589,10.5281,669.264,603.278,145.697,421.227,413.361,263.517,229.136,1740.20856,1418.239,1327.241,5996.46
565,318.749,5.76612,97.6408,1253.03,16.5266,14.5175,7.70147,9.84306,10.2707,671.427,605.274,145.583,422.314,413.83,263.262,229.191,1734.04525,1422.284,1328.597,5997.71
570,319.48,5.29285,97.9729,1259.73,16.8762,14.8518,7.99337,10.002,10.5913,669.253,605.861,145.518,422.15,413.61,263.2,229.238,1742.79042,1420.632,1328.198,5998.86
575,321.772,5.5189,99.0009,1258.86,16.9991,15.3616,7.9403,10.0842,10.9202,667.147,601.386,145.433,425.059,413.523,263.074,228.994,1746.4572,1413.966,1330.65,5997.58
