#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"I-1","Integral(5.60000000,5.30000000)","","","","Integral(3.95000000,3.60000000)","","Integral(0.90286037,0.76790933)","",
168,167.00000000,249.58361562,0.00000000,0.00000000,0.00000000,172.12622872,0.00000000,15.47922724,0.00000000,
169,168.00000000,248.66621504,0.00000000,0.00000000,0.00000000,171.90077112,0.00000000,15.39776213,0.00000000,
170,169.00000000,249.58947972,0.00000000,0.00000000,0.00000000,172.47894319,0.00000000,15.48739088,0.00000000,
171,170.00000000,249.08042364,0.00000000,0.00000000,0.00000000,172.79404248,0.00000000,16.07496399,0.00000000,
172,171.00000000,248.97445321,0.00000000,0.00000000,0.00000000,173.00162207,0.00000000,16.42498504,0.00000000,
173,172.00000000,248.28940353,0.00000000,0.00000000,0.00000000,171.71386783,0.00000000,15.36436850,0.00000000,
174,173.00000000,248.62749916,0.00000000,0.00000000,0.00000000,171.84937163,0.00000000,15.41100125,0.00000000,
175,174.00000000,246.79949094,0.00000000,0.00000000,0.00000000,171.01078866,0.00000000,15.52964891,0.00000000,
176,175.00000000,247.21072702,0.00000000,0.00000000,0.00000000,171.63381062,0.00000000,16.78813066,0.00000000,
177,176.00000000,247.59997838,0.00000000,0.00000000,0.00000000,171.41240814,0.00000000,15.64428049,0.00000000,
178,177.00000000,246.93242869,0.00000000,0.00000000,0.00000000,171.44282329,0.00000000,16.42040668,0.00000000,
179,178.00000000,246.89166067,0.00000000,0.00000000,0.00000000,171.11987456,0.00000000,15.19359144,0.00000000,
180,179.00000000,246.76026596,0.00000000,0.00000000,0.00000000,170.76379418,0.00000000,14.94197323,0.00000000,
181,180.00000000,247.81067478,0.00000000,0.00000000,0.00000000,171.59483900,0.00000000,15.43019225,0.00000000,
182,181.00000000,246.71508599,0.00000000,0.00000000,0.00000000,171.50434380,0.00000000,16.47100418,0.00000000,
183,182.00000000,248.10943884,0.00000000,0.00000000,0.00000000,171.91871589,0.00000000,15.39964210,0.00000000,
184,183.00000000,247.04863247,0.00000000,0.00000000,0.00000000,171.34848485,0.00000000,16.58186534,0.00000000,
185,184.00000000,246.36249786,0.00000000,0.00000000,0.00000000,171.43742929,0.00000000,16.34616837,0.00000000,
186,185.00000000,246.92492090,0.00000000,0.00000000,0.00000000,171.70755620,0.00000000,17.08624890,0.00000000,
187,186.00000000,247.37842731,0.00000000,0.00000000,0.00000000,171.21163728,0.00000000,15.30694474,0.00000000,
188,187.00000000,246.60559722,0.00000000,0.00000000,0.00000000,171.36226297,0.00000000,16.65506862,0.00000000,
189,188.00000000,245.84213691,0.00000000,0.00000000,0.00000000,170.07106678,0.00000000,15.82210179,0.00000000,
190,189.00000000,247.05132082,0.00000000,0.00000000,0.00000000,171.09321408,0.00000000,16.28957733,0.00000000,
191,190.00000000,246.16406477,0.00000000,0.00000000,0.00000000,170.26066579,0.00000000,16.11275478,0.00000000,
192,191.00000000,247.15311479,0.00000000,0.00000000,0.00000000,171.17535862,0.00000000,15.99621858,0.00000000,
193,192.00000000,246.05169621,0.00000000,0.00000000,0.00000000,170.77553270,0.00000000,17.39751447,0.00000000,
194,193.00000000,245.17861974,0.00000000,0.00000000,0.00000000,170.26904713,0.00000000,16.89613354,0.00000000,
195,194.00000000,245.88181738,0.00000000,0.00000000,0.00000000,170.55627584,0.00000000,16.61039723,0.00000000,
196,195.00000000,246.34754408,0.00000000,0.00000000,0.00000000,170.99516092,0.00000000,16.13150276,0.00000000,
197,196.00000000,244.37237902,0.00000000,0.00000000,0.00000000,169.66739977,0.00000000,16.26422983,0.00000000,
198,197.00000000,245.51670776,0.00000000,0.00000000,0.00000000,170.21796174,0.00000000,16.23467422,0.00000000,
199,198.00000000,245.05149308,0.00000000,0.00000000,0.00000000,170.40739525,0.00000000,16.97428804,0.00000000,
200,199.00000000,245.07968762,0.00000000,0.00000000,0.00000000,170.59448033,0.00000000,17.31905227,0.00000000,
201,200.00000000,246.20785235,0.00000000,0.00000000,0.00000000,170.49370091,0.00000000,15.81370105,0.00000000,
202,201.00000000,244.54105339,0.00000000,0.00000000,0.00000000,170.58862027,0.00000000,18.48214227,0.00000000,
203,202.00000000,245.89596625,0.00000000,0.00000000,0.00000000,170.64783312,0.00000000,16.81090625,0.00000000,
204,203.00000000,245.40849030,0.00000000,0.00000000,0.00000000,170.55337416,0.00000000,17.14619701,0.00000000,
205,204.00000000,244.89760810,0.00000000,0.00000000,0.00000000,170.02438482,0.00000000,17.01196042,0.00000000,
206,205.00000000,245.51681922,0.00000000,0.00000000,0.00000000,170.60566926,0.00000000,17.48530758,0.00000000,
207,206.00000000,245.29815511,0.00000000,0.00000000,0.00000000,170.31658569,0.00000000,16.37429062,0.00000000,
208,207.00000000,244.83978911,0.00000000,0.00000000,0.00000000,170.29688192,0.00000000,16.81865592,0.00000000,
209,208.00000000,244.88298906,0.00000000,0.00000000,0.00000000,169.93486406,0.00000000,17.43409346,0.00000000,
210,209.00000000,244.91581308,0.00000000,0.00000000,0.00000000,170.61832729,0.00000000,18.00604370,0.00000000,
211,210.00000000,244.96796819,0.00000000,0.00000000,0.00000000,170.31112730,0.00000000,16.78552975,0.00000000,
212,211.00000000,244.57446519,0.00000000,0.00000000,0.00000000,170.22165467,0.00000000,16.95755393,0.00000000,
213,212.00000000,244.90101940,0.00000000,0.00000000,0.00000000,170.48882619,0.00000000,17.04046549,0.00000000,
214,213.00000000,244.72350309,0.00000000,0.00000000,0.00000000,170.13415238,0.00000000,17.53506520,0.00000000,
215,214.00000000,245.05092037,0.00000000,0.00000000,0.00000000,170.65635541,0.00000000,17.61112710,0.00000000,
216,215.00000000,243.88971977,0.00000000,0.00000000,0.00000000,170.23347428,0.00000000,18.42677980,0.00000000,
217,216.00000000,244.73821261,0.00000000,0.00000000,0.00000000,170.38510477,0.00000000,17.72397678,0.00000000,
218,217.00000000,244.70630510,0.00000000,0.00000000,0.00000000,169.81792293,0.00000000,16.71804068,0.00000000,
219,218.00000000,244.45486548,0.00000000,0.00000000,0.00000000,170.44550035,0.00000000,18.36581069,0.00000000,
220,219.00000000,244.22843441,0.00000000,0.00000000,0.00000000,170.19562924,0.00000000,17.79452213,0.00000000,
221,220.00000000,243.72005959,0.00000000,0.00000000,0.00000000,170.00146655,0.00000000,18.53028854,0.00000000,
222,221.00000000,244.28904044,0.00000000,0.00000000,0.00000000,170.56786131,0.00000000,18.72509853,0.00000000,
223,222.00000000,243.88636839,0.00000000,0.00000000,0.00000000,169.98688844,0.00000000,17.63290565,0.00000000,
224,223.00000000,242.93874435,0.00000000,0.00000000,0.00000000,169.47354641,0.00000000,17.71434439,0.00000000,
225,224.00000000,243.63905080,0.00000000,0.00000000,0.00000000,170.01275131,0.00000000,18.21617798,0.00000000,
226,225.00000000,244.76669687,0.00000000,0.00000000,0.00000000,170.00843626,0.00000000,17.16095252,0.00000000,
227,226.00000000,244.10988473,0.00000000,0.00000000,0.00000000,169.76639394,0.00000000,17.40939680,0.00000000,
228,227.00000000,242.54989480,0.00000000,0.00000000,0.00000000,168.70651965,0.00000000,17.73912327,0.00000000,
229,228.00000000,242.99391057,0.00000000,0.00000000,0.00000000,169.69948264,0.00000000,18.05487511,0.00000000,
230,229.00000000,242.53286314,0.00000000,0.00000000,0.00000000,169.01308750,0.00000000,18.56098109,0.00000000,
231,230.00000000,242.42863705,0.00000000,0.00000000,0.00000000,169.46370116,0.00000000,18.91864311,0.00000000,
232,231.00000000,242.36484386,0.00000000,0.00000000,0.00000000,169.05143568,0.00000000,18.17798643,0.00000000,
