ARR_DATA(I)			Integral(5.434,5.394)				Integral(5.255,5.224)				Integral(4.671,4.619)		Integral(4.027,3.987)		
22538	0	0	104.174	0	0	0	39.921	0	0	0	321.306	0	38.7994	0	
22630	0	0	104.072	0	0	0	40.232	0	0	0	322.883	0	39.1379	0	
22720	0	0	104.314	0	0	0	40.5973	0	0	0	322.939	0	38.9879	0	
22810	0	0	103.886	0	0	0	40.2248	0	0	0	322.802	0	39.1186	0	
22900	0	0	103.895	0	0	0	40.4337	0	0	0	321.122	0	39.1803	0	
22992	0	0	103.85	0	0	0	40.4057	0	0	0	322.905	0	39.4579	0	
23085	0	0	103.696	0	0	0	40.7111	0	0	0	323.906	0	39.4767	0	
23174	0	0	103.668	0	0	0	40.4322	0	0	0	322.009	0	39.2602	0	
23266	0	0	103.536	0	0	0	40.7481	0	0	0	323.436	0	39.3928	0	
23358	0	0	103.526	0	0	0	40.7165	0	0	0	322.284	0	39.5816	0	
23448	0	0	103.253	0	0	0	40.7222	0	0	0	323.891	0	39.6836	0	
23540	0	0	103.291	0	0	0	40.7668	0	0	0	322.662	0	39.7822	0	
23632	0	0	103.031	0	0	0	40.5724	0	0	0	321.406	0	40.1241	0	
23724	0	0	103.115	0	0	0	40.7365	0	0	0	323.717	0	39.8418	0	
23813	0	0	103.02	0	0	0	40.6012	0	0	0	320.918	0	39.7969	0	
23905	0	0	103.018	0	0	0	40.9139	0	0	0	320.912	0	39.9144	0	
23995	0	0	102.796	0	0	0	40.9081	0	0	0	323.107	0	40.1071	0	
24087	0	0	102.791	0	0	0	41.0279	0	0	0	322.822	0	40.2132	0	
24176	0	0	102.643	0	0	0	40.8715	0	0	0	321.784	0	39.9691	0	
24266	0	0	102.573	0	0	0	40.9249	0	0	0	322.714	0	40.697	0	
24357	0	0	102.429	0	0	0	41.0117	0	0	0	321.689	0	40.3811	0	
24449	0	0	102.47	0	0	0	41.3694	0	0	0	322.193	0	40.4044	0	
24542	0	0	102.26	0	0	0	41.2929	0	0	0	323.333	0	40.5239	0	
24631	0	0	102.048	0	0	0	41.0408	0	0	0	321.31	0	40.7052	0	
24723	0	0	101.949	0	0	0	41.039	0	0	0	324.206	0	40.7662	0	
24815	0	0	101.852	0	0	0	41.1657	0	0	0	322.888	0	40.8801	0	
24905	0	0	101.789	0	0	0	41.1544	0	0	0	321.138	0	40.9526	0	
24993	0	0	101.574	0	0	0	40.9332	0	0	0	320.522	0	40.8545	0	
